panel,site,region,country,lat,lon,accessions,salinity_index,genotype,treatment,day,germination_mean_pct,germination_sd_pct,n_biological_replicates,day7_germination_mean_pct,day7_germination_sd_pct,retention_pct,vigor_index,integrated_score
c,,,,,,,,Wheat-D,NaCl-150mM,2,9.2,1.1,5,,,,,
c,,,,,,,,Wheat-D,NaCl-150mM,3,20.4,1.67,5,,,,,
c,,,,,,,,Wheat-D,NaCl-150mM,4,28.8,2.28,5,,,,,
c,,,,,,,,Wheat-D,NaCl-150mM,5,35.2,2.28,5,,,,,
c,,,,,,,,Wheat-D,NaCl-150mM,6,40.0,3.16,5,,,,,
c,,,,,,,,Wheat-D,NaCl-150mM,7,42.0,3.16,5,,,,,
c,,,,,,,,Wheat-E,Control,1,21.2,1.1,5,,,,,
c,,,,,,,,Wheat-E,Control,2,52.8,2.28,5,,,,,
c,,,,,,,,Wheat-E,Control,3,76.0,3.16,5,,,,,
c,,,,,,,,Wheat-E,Control,4,88.0,3.16,5,,,,,
c,,,,,,,,Wheat-E,Control,5,92.0,3.16,5,,,,,
c,,,,,,,,Wheat-E,Control,6,96.0,3.16,5,,,,,
c,,,,,,,,Wheat-E,Control,7,96.0,3.16,5,,,,,
c,,,,,,,,Wheat-E,NaCl-150mM,1,2.4,0.89,5,,,,,
c,,,,,,,,Wheat-E,NaCl-150mM,2,15.6,0.89,5,,,,,
c,,,,,,,,Wheat-E,NaCl-150mM,3,34.4,1.67,5,,,,,
c,,,,,,,,Wheat-E,NaCl-150mM,4,48.8,2.28,5,,,,,
c,,,,,,,,Wheat-E,NaCl-150mM,5,60.4,2.61,5,,,,,
c,,,,,,,,Wheat-E,NaCl-150mM,6,68.0,3.16,5,,,,,
c,,,,,,,,Wheat-E,NaCl-150mM,7,72.0,3.16,5,,,,,
c,,,,,,,,Wheat-F,Control,1,21.2,1.1,5,,,,,
c,,,,,,,,Wheat-F,Control,2,52.8,2.28,5,,,,,
c,,,,,,,,Wheat-F,Control,3,76.0,3.16,5,,,,,
c,,,,,,,,Wheat-F,Control,4,88.0,3.16,5,,,,,
c,,,,,,,,Wheat-F,Control,5,92.0,3.16,5,,,,,
c,,,,,,,,Wheat-F,Control,6,96.0,3.16,5,,,,,
c,,,,,,,,Wheat-F,Control,7,96.0,3.16,5,,,,,
c,,,,,,,,Wheat-F,NaCl-150mM,1,2.0,0.0,5,,,,,
c,,,,,,,,Wheat-F,NaCl-150mM,2,13.2,1.1,5,,,,,
c,,,,,,,,Wheat-F,NaCl-150mM,3,28.4,1.67,5,,,,,
c,,,,,,,,Wheat-F,NaCl-150mM,4,40.8,2.28,5,,,,,
c,,,,,,,,Wheat-F,NaCl-150mM,5,50.4,2.61,5,,,,,
c,,,,,,,,Wheat-F,NaCl-150mM,6,56.0,3.16,5,,,,,
c,,,,,,,,Wheat-F,NaCl-150mM,7,60.0,3.16,5,,,,,
d,,,,,,,,Wheat-A,Control,,,,5,97.6,2.61,,,
d,,,,,,,,Wheat-A,NaCl-150mM,,,,5,84.0,3.16,,,
d,,,,,,,,Wheat-B,Control,,,,5,96.0,3.16,,,
d,,,,,,,,Wheat-B,NaCl-150mM,,,,5,64.0,3.16,,,
d,,,,,,,,Wheat-C,Control,,,,5,94.0,3.16,,,
d,,,,,,,,Wheat-C,NaCl-150mM,,,,5,54.0,3.16,,,
d,,,,,,,,Wheat-D,Control,,,,5,92.0,3.16,,,
d,,,,,,,,Wheat-D,NaCl-150mM,,,,5,42.0,3.16,,,
d,,,,,,,,Wheat-E,Control,,,,5,96.0,3.16,,,
d,,,,,,,,Wheat-E,NaCl-150mM,,,,5,72.0,3.16,,,
d,,,,,,,,Wheat-F,Control,,,,5,96.0,3.16,,,
d,,,,,,,,Wheat-F,NaCl-150mM,,,,5,60.0,3.16,,,
e-f,,,,,,,,Wheat-A,,,,,,,,86.066,1229.071,100.0
e-f,,,,,,,,Wheat-B,,,,,,,,66.667,739.482,54.153
e-f,,,,,,,,Wheat-C,,,,,,,,57.447,533.347,30.857
e-f,,,,,,,,Wheat-D,,,,,,,,45.652,342.93,0.0
e-f,,,,,,,,Wheat-E,,,,,,,,75.0,946.483,74.722
e-f,,,,,,,,Wheat-F,,,,,,,,62.5,642.264,43.845
