genotype,gene,replicate,salt_vs_control_fold_change,log2_fold_change
Wheat-D,TaHKT1;5,R2,0.968,-0.047
Wheat-D,TaHKT1;5,R3,1.175,0.233
Wheat-D,TaHKT1;5,R4,0.986,-0.021
Wheat-D,TaHKT1;5,R5,1.152,0.204
Wheat-D,TaNHX1,R1,1.404,0.489
Wheat-D,TaNHX1,R2,1.356,0.439
Wheat-D,TaNHX1,R3,1.232,0.302
Wheat-D,TaNHX1,R4,1.347,0.429
Wheat-D,TaNHX1,R5,1.224,0.292
Wheat-D,TaSOS1,R1,1.178,0.237
Wheat-D,TaSOS1,R2,1.131,0.177
Wheat-D,TaSOS1,R3,1.162,0.217
Wheat-D,TaSOS1,R4,1.031,0.044
Wheat-D,TaSOS1,R5,1.182,0.241
Wheat-D,TaP5CS,R1,1.968,0.977
Wheat-D,TaP5CS,R2,1.907,0.932
Wheat-D,TaP5CS,R3,1.852,0.889
Wheat-D,TaP5CS,R4,1.951,0.964
Wheat-D,TaP5CS,R5,1.906,0.931
Wheat-D,TaSOD,R1,1.456,0.542
Wheat-D,TaSOD,R2,1.404,0.49
Wheat-D,TaSOD,R3,1.391,0.476
Wheat-D,TaSOD,R4,1.591,0.67
Wheat-D,TaSOD,R5,1.554,0.636
Wheat-D,TaCAT,R1,1.188,0.248
Wheat-D,TaCAT,R2,1.212,0.278
Wheat-D,TaCAT,R3,1.269,0.344
Wheat-D,TaCAT,R4,1.289,0.366
Wheat-D,TaCAT,R5,1.371,0.455
Wheat-D,TaDREB2,R1,1.512,0.597
Wheat-D,TaDREB2,R2,1.603,0.681
Wheat-D,TaDREB2,R3,1.715,0.778
Wheat-D,TaDREB2,R4,1.563,0.645
Wheat-D,TaDREB2,R5,1.861,0.896
Wheat-D,TaLEA,R1,1.55,0.633
Wheat-D,TaLEA,R2,1.551,0.633
Wheat-D,TaLEA,R3,1.641,0.714
Wheat-D,TaLEA,R4,1.767,0.822
Wheat-D,TaLEA,R5,1.552,0.634
Wheat-E,TaHKT1;5,R1,2.95,1.561
Wheat-E,TaHKT1;5,R2,2.974,1.572
Wheat-E,TaHKT1;5,R3,2.892,1.532
Wheat-E,TaHKT1;5,R4,2.859,1.515
Wheat-E,TaHKT1;5,R5,2.91,1.541
Wheat-E,TaNHX1,R1,2.279,1.188
Wheat-E,TaNHX1,R2,2.496,1.32
Wheat-E,TaNHX1,R3,2.61,1.384
Wheat-E,TaNHX1,R4,2.656,1.409
Wheat-E,TaNHX1,R5,2.57,1.362
Wheat-E,TaSOS1,R1,2.119,1.083
Wheat-E,TaSOS1,R2,2.326,1.218
Wheat-E,TaSOS1,R3,2.307,1.206
Wheat-E,TaSOS1,R4,2.314,1.21
Wheat-E,TaSOS1,R5,2.026,1.019
Wheat-E,TaP5CS,R1,3.635,1.862
Wheat-E,TaP5CS,R2,3.68,1.88
Wheat-E,TaP5CS,R3,3.629,1.86
Wheat-E,TaP5CS,R4,3.518,1.815
Wheat-E,TaP5CS,R5,3.731,1.9
Wheat-E,TaSOD,R1,2.681,1.423
Wheat-E,TaSOD,R2,2.768,1.469
Wheat-E,TaSOD,R3,2.925,1.549
Wheat-E,TaSOD,R4,2.878,1.525
Wheat-E,TaSOD,R5,2.782,1.476
Wheat-E,TaCAT,R1,2.566,1.359
Wheat-E,TaCAT,R2,2.566,1.359
Wheat-E,TaCAT,R3,2.614,1.386
Wheat-E,TaCAT,R4,2.396,1.261
Wheat-E,TaCAT,R5,2.576,1.365
Wheat-E,TaDREB2,R1,3.017,1.593
Wheat-E,TaDREB2,R2,2.858,1.515
Wheat-E,TaDREB2,R3,2.867,1.519
Wheat-E,TaDREB2,R4,3.039,1.603
Wheat-E,TaDREB2,R5,2.9,1.536
Wheat-E,TaLEA,R1,2.938,1.555
Wheat-E,TaLEA,R2,3.081,1.623
Wheat-E,TaLEA,R3,2.995,1.583
Wheat-E,TaLEA,R4,3.047,1.607
Wheat-E,TaLEA,R5,3.075,1.621
Wheat-F,TaHKT1;5,R1,2.091,1.064
Wheat-F,TaHKT1;5,R2,1.946,0.96
Wheat-F,TaHKT1;5,R3,2.324,1.216
Wheat-F,TaHKT1;5,R4,2.224,1.153
Wheat-F,TaHKT1;5,R5,2.117,1.082
Wheat-F,TaNHX1,R1,1.962,0.972
Wheat-F,TaNHX1,R2,1.845,0.884
Wheat-F,TaNHX1,R3,1.889,0.918
Wheat-F,TaNHX1,R4,1.731,0.792
Wheat-F,TaNHX1,R5,1.818,0.862
Wheat-F,TaSOS1,R1,1.826,0.869
Wheat-F,TaSOS1,R2,1.694,0.761
Wheat-F,TaSOS1,R3,1.8,0.848
Wheat-F,TaSOS1,R4,1.902,0.928
Wheat-F,TaSOS1,R5,1.964,0.974
Wheat-F,TaP5CS,R1,3.058,1.613
Wheat-F,TaP5CS,R2,2.923,1.548
Wheat-F,TaP5CS,R3,2.904,1.538
Wheat-F,TaP5CS,R4,3.034,1.601
Wheat-F,TaP5CS,R5,2.9,1.536
Wheat-F,TaSOD,R1,2.338,1.226
Wheat-F,TaSOD,R2,2.312,1.209
Wheat-F,TaSOD,R3,2.516,1.331
Wheat-F,TaSOD,R4,2.286,1.193
Wheat-F,TaSOD,R5,2.226,1.154
Wheat-F,TaCAT,R1,1.995,0.996
Wheat-F,TaCAT,R2,2.239,1.163
Wheat-F,TaCAT,R3,1.954,0.966
Wheat-F,TaCAT,R4,1.889,0.918
Wheat-F,TaCAT,R5,1.933,0.951
Wheat-F,TaDREB2,R1,2.413,1.271
Wheat-F,TaDREB2,R2,2.521,1.334
Wheat-F,TaDREB2,R3,2.239,1.163
Wheat-F,TaDREB2,R4,2.433,1.283
Wheat-F,TaDREB2,R5,2.633,1.397
Wheat-F,TaLEA,R1,2.565,1.359
Wheat-F,TaLEA,R2,2.521,1.334
Wheat-F,TaLEA,R3,2.586,1.371
Wheat-F,TaLEA,R4,2.675,1.42
Wheat-F,TaLEA,R5,2.69,1.428
