genotype,treatment,replicate,root_length_cm,shoot_length_cm,relative_water_content_pct,k_na_ratio,mda_nmol_g_fw,proline_umol_g_fw,sod_u_mg_protein,cat_u_mg_protein
Wheat-C,Control,R5,8.716,6.491,95.924,2.486,6.581,1.438,109.129,32.455
Wheat-C,NaCl-150mM,R1,5.956,4.185,72.106,0.898,15.679,3.825,121.601,36.586
Wheat-C,NaCl-150mM,R2,5.53,4.168,71.656,0.812,13.947,3.723,109.648,36.229
Wheat-C,NaCl-150mM,R3,5.775,4.002,72.645,0.95,15.459,3.618,116.168,36.084
Wheat-C,NaCl-150mM,R4,5.8,4.219,71.214,0.881,15.496,3.557,115.883,36.973
Wheat-C,NaCl-150mM,R5,5.514,4.235,73.122,0.893,16.429,3.893,113.812,35.765
Wheat-D,Control,R1,8.912,6.571,96.113,2.309,5.805,1.684,109.188,34.791
Wheat-D,Control,R2,8.64,6.584,96.753,2.405,6.264,1.6,117.875,35.868
Wheat-D,Control,R3,8.338,6.615,96.295,2.236,6.171,1.631,109.743,35.367
Wheat-D,Control,R4,8.787,6.506,97.382,2.291,6.755,1.808,117.931,35.453
Wheat-D,Control,R5,9.088,6.498,95.089,2.194,6.485,1.655,113.977,35.245
Wheat-D,NaCl-150mM,R1,4.593,3.527,64.314,0.635,18.828,2.429,100.224,27.834
Wheat-D,NaCl-150mM,R2,4.828,3.607,62.916,0.571,18.14,2.934,97.335,31.879
Wheat-D,NaCl-150mM,R3,4.964,3.177,64.112,0.681,18.487,2.935,92.8,27.417
Wheat-D,NaCl-150mM,R4,4.519,3.46,62.362,0.595,19.448,2.939,97.387,32.479
Wheat-D,NaCl-150mM,R5,4.866,3.284,62.999,0.653,19.563,2.898,90.416,30.009
Wheat-E,Control,R1,8.891,6.426,95.341,2.329,6.751,1.561,106.517,33.616
Wheat-E,Control,R2,8.782,6.509,96.639,2.166,7.204,1.685,107.489,34.941
Wheat-E,Control,R3,8.603,6.547,95.915,2.163,6.545,1.547,112.351,33.921
Wheat-E,Control,R4,8.737,6.176,95.606,2.289,6.307,1.704,111.191,33.888
Wheat-E,Control,R5,8.833,6.462,95.258,2.401,6.356,1.494,115.241,34.497
Wheat-E,NaCl-150mM,R1,7.994,5.651,83.965,1.456,11.02,4.685,145.061,47.908
Wheat-E,NaCl-150mM,R2,7.75,5.475,82.732,1.493,10.103,4.765,146.51,51.642
Wheat-E,NaCl-150mM,R3,7.773,5.719,83.569,1.395,10.497,5.188,142.656,51.694
Wheat-E,NaCl-150mM,R4,7.398,5.339,82.855,1.403,11.6,4.884,139.434,49.071
Wheat-E,NaCl-150mM,R5,7.233,5.396,83.235,1.424,10.508,4.97,150.203,48.064
Wheat-F,Control,R1,8.585,6.465,94.788,2.235,6.44,1.711,111.245,33.079
Wheat-F,Control,R2,8.571,6.512,95.94,2.279,6.058,1.543,106.021,33.646
Wheat-F,Control,R3,8.627,6.432,95.013,2.297,6.456,1.663,118.122,30.982
Wheat-F,Control,R4,8.738,6.559,95.209,2.216,6.433,1.61,111.6,35.792
Wheat-F,Control,R5,8.807,6.44,95.517,2.305,6.791,1.658,110.6,31.843
Wheat-F,NaCl-150mM,R1,6.645,4.141,76.768,1.07,13.772,4.135,122.167,39.069
Wheat-F,NaCl-150mM,R2,6.726,4.507,75.661,1.046,14.275,4.313,131.136,38.654
Wheat-F,NaCl-150mM,R3,5.753,4.637,75.327,1.089,15.068,3.876,125.829,39.986
Wheat-F,NaCl-150mM,R4,5.81,4.547,73.599,1.079,14.51,3.729,118.245,39.391
Wheat-F,NaCl-150mM,R5,6.214,4.542,76.187,1.057,14.163,3.767,121.298,40.231
